name,vertices,edges,chromatic_number,image_path,leap_1_structure,leap_1_order,leap_2_structure,leap_2_order
fork and two singletons,7,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_219.png,1,1,1,1
"2‐path, claw, and singleton",7,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_220.png,1,1,1,1
paw and three singletons,7,4,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_221.png,1,1,1,1
cross and singleton,7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_222.png,1,1,1,1
"2‐path and (1,4)‐bipartite graph",7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_223.png,1,1,1,1
cricket and two singletons,7,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_224.png,1,1,1,1
7‐tree 1,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_225.png,1,1,1,1
7‐graph 18,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_226.png,1,1,1,1
7‐matchstick graph 11,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_227.png,1,1,1,1
square and three singletons,7,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_228.png,1,1,1,1
two 3‐paths and singleton,7,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_229.png,1,1,1,1
banner and two singletons,7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_230.png,1,1,1,1
7‐graph 26,7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_231.png,1,1,1,1
3‐path and claw,7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_232.png,1,1,1,1
tetrahedron minus edge and three singletons,7,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_233.png,1,1,1,1
bull and two singletons,7,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_234.png,1,1,1,1
H and singleton,7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_235.png,1,1,1,1
R and singleton,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_236.png,1,1,1,1
7‐tree 5,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_237.png,1,1,1,1
dart and two singletons,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_238.png,1,1,1,1
7‐graph 27,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_239.png,1,1,1,1
7‐tree 4,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_240.png,1,1,1,1
7‐matchstick graph 37,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_241.png,1,1,1,1
moth and singleton,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_242.png,1,1,1,1
7‐matchstick graph 12,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_243.png,1,1,1,1
8‐matchstick graph 5,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_244.png,1,1,1,1
"(2,3)‐bipartite graph and two singletons",7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_245.png,1,1,1,1
7‐graph 40,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_246.png,1,1,1,1
complete binary tree of depth 3,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_247.png,1,1,1,1
7‐graph 46,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_248.png,1,1,1,1
7‐matchstick graph 43,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_249.png,1,1,1,1
"(1,1,3)‐tripartite graph and two singletons",7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_250.png,1,1,1,1
7‐graph 41,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_251.png,1,1,1,1
7‐matchstick graph 15,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_252.png,1,1,1,1
7‐graph 48,7,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_253.png,1,1,1,1
7‐graph 47,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_254.png,1,1,1,1
8‐matchstick graph 6,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_255.png,1,1,1,1
7‐graph 49,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_256.png,1,1,1,1
"(2,4)‐bipartite graph and singleton",7,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_257.png,1,1,1,1
7‐graph 50,7,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_258.png,1,1,1,1
7‐graph 54,7,9,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_259.png,1,1,1,1
"(1,1,4)‐tripartite graph and singleton",7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_260.png,1,1,1,1
7‐graph 51,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_261.png,1,1,1,1
7‐graph 55,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_262.png,1,1,1,1
"(2,5)‐complete bipartite graph",7,10,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_263.png,1,1,1,1
"(1,1,5)‐complete tripartite graph",7,11,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_264.png,1,1,1,1
three 2‐paths and singleton,7,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_265.png,1,1,1,1
5‐path and two singletons,7,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_266.png,1,1,1,1
"4‐path, 2‐path, and singleton",7,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_267.png,1,1,1,1
3‐path and two 2‐paths,7,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_268.png,1,1,1,1
"triangle, 2‐path, and two singletons",7,4,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_269.png,1,1,1,1
E and singleton,7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_270.png,1,1,1,1
fork and 2‐path,7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_271.png,1,1,1,1
"(3,2)‐tadpole and two singletons",7,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_272.png,1,1,1,1
"paw, 2‐path, and singleton",7,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_273.png,1,1,1,1
7‐tree 6,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_274.png,1,1,1,1
7‐graph 69,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_275.png,1,1,1,1
cricket and 2‐path,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_276.png,1,1,1,1
butterfly and two singletons,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_277.png,1,1,1,1
7‐matchstick graph 13,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_278.png,1,1,1,1
7‐graph 70,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_279.png,1,1,1,1
8‐matchstick graph 27,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_280.png,1,1,1,1
pentagon and two singletons,7,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_281.png,1,1,1,1
A and singleton,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_282.png,1,1,1,1
7‐tree 9,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_283.png,1,1,1,1
house and two singletons,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_284.png,1,1,1,1
5‐pan and singleton,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_285.png,1,1,1,1
kite and two singletons,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_286.png,1,1,1,1
net and singleton,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_287.png,1,1,1,1
7‐matchstick graph 41,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_288.png,1,1,1,1
7‐graph 133,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_289.png,1,1,1,1
7‐matchstick graph 18,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_290.png,1,1,1,1
7‐matchstick graph 47,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_291.png,1,1,1,1
7‐graph 132,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_292.png,1,1,1,1
7‐matchstick graph 16,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_293.png,1,1,1,1
gem and two singletons,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_294.png,1,1,1,1
8‐matchstick graph 38,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_295.png,1,1,1,1
8‐matchstick graph 7,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_296.png,1,1,1,1
7‐graph 134,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_297.png,1,1,1,1
9‐matchstick graph 2,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_298.png,1,1,1,1
6‐path and singleton,7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_299.png,1,1,1,1
"square, 2‐path, and singleton",7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_300.png,1,1,1,1
4‐path and 3‐path,7,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_301.png,1,1,1,1
"triangle, 3‐path, and singleton",7,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_302.png,1,1,1,1
"(4,2)‐tadpole and singleton",7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_303.png,1,1,1,1
7‐tree 7,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_304.png,1,1,1,1
banner and 2‐path,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_305.png,1,1,1,1
"(3,3)‐tadpole and singleton",7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_306.png,1,1,1,1
paw and 3‐path,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_307.png,1,1,1,1
7‐graph 86,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_308.png,1,1,1,1
"2‐path, tetrahedron minus edge, and singleton",7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_309.png,1,1,1,1
7‐tree 3,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_310.png,1,1,1,1
bull and 2‐path,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_311.png,1,1,1,1
7‐graph 80,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_312.png,1,1,1,1
7‐matchstick graph 42,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_313.png,1,1,1,1
fish and singleton,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_314.png,1,1,1,1
7‐matchstick graph 22,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_315.png,1,1,1,1
7‐graph 94,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_316.png,1,1,1,1
7‐matchstick graph 17,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_317.png,1,1,1,1
dart and 2‐path,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_318.png,1,1,1,1
7‐graph 88,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_319.png,1,1,1,1
7‐matchstick graph 20,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_320.png,1,1,1,1
8‐matchstick graph 43,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_321.png,1,1,1,1
8‐matchstick graph 8,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_322.png,1,1,1,1
7‐graph 96,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_323.png,1,1,1,1
8‐matchstick graph 28,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_324.png,1,1,1,1
9‐matchstick graph 16,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_325.png,1,1,1,1
triangle and claw,7,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_326.png,1,1,1,1
tetrahedron and three singletons,7,6,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_327.png,1,1,1,1
7‐matchstick graph 31,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_328.png,1,1,1,1
7‐graph 116,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_329.png,1,1,1,1
"(4,1)‐lollipop and two singletons",7,7,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_330.png,1,1,1,1
8‐matchstick graph 20,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_331.png,1,1,1,1
7‐graph 117,7,8,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_332.png,1,1,1,1
7‐graph 120,7,9,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_333.png,1,1,1,1
7‐graph 151,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_334.png,1,1,1,1
7‐matchstick graph 65,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_335.png,1,1,1,1
7‐graph 163,7,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_336.png,1,1,1,1
7‐graph 161,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_337.png,1,1,1,1
8‐matchstick graph 51,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_338.png,1,1,1,1
8‐matchstick graph 131,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_339.png,1,1,1,1
7‐graph 160,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_340.png,1,1,1,1
8‐matchstick graph 10,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_341.png,1,1,1,1
7‐graph 156,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_342.png,1,1,1,1
7‐graph 152,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_343.png,1,1,1,1
8‐matchstick graph 13,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_344.png,1,1,1,1
8‐matchstick graph 47,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_345.png,1,1,1,1
7‐graph 165,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_346.png,1,1,1,1
7‐graph 164,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_347.png,1,1,1,1
7‐graph 162,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_348.png,1,1,1,1
9‐matchstick graph 3,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_349.png,1,1,1,1
9‐matchstick graph 24,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_350.png,1,1,1,1
7‐graph 166,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_351.png,1,1,1,1
7‐matchstick graph 57,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_352.png,1,1,1,1
"2‐path and (2,3)‐bipartite graph",7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_353.png,1,1,1,1
7‐matchstick graph 33,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_354.png,1,1,1,1
7‐graph 109,7,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_355.png,1,1,1,1
8‐matchstick graph 66,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_356.png,1,1,1,1
8‐matchstick graph 11,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_357.png,1,1,1,1
"2‐path and (1,1,3)‐tripartite graph",7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_358.png,1,1,1,1
8‐matchstick graph 31,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_359.png,1,1,1,1
7‐graph 111,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_360.png,1,1,1,1
7‐graph 110,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_361.png,1,1,1,1
9‐matchstick graph 17,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_362.png,1,1,1,1
7‐graph 112,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_363.png,1,1,1,1
8‐matchstick graph 79,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_364.png,1,1,1,1
7‐graph 143,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_365.png,1,1,1,1
8‐matchstick graph 21,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_366.png,1,1,1,1
house X and two singletons,7,8,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_367.png,1,1,1,1
7‐graph 139,7,8,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_368.png,1,1,1,1
7‐graph 147,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_369.png,1,1,1,1
9‐matchstick graph 8,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_370.png,1,1,1,1
7‐graph 144,7,9,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_371.png,1,1,1,1
7‐graph 141,7,9,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_372.png,1,1,1,1
7‐graph 148,7,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_373.png,1,1,1,1
7‐graph 177,7,9,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_374.png,1,1,1,1
7‐graph 175,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_375.png,1,1,1,1
7‐graph 173,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_376.png,1,1,1,1
7‐graph 179,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_377.png,1,1,1,1
7‐graph 178,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_378.png,1,1,1,1
7‐graph 176,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_379.png,1,1,1,1
7‐graph 174,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_380.png,1,1,1,1
"2‐tree (7,2)",7,11,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_381.png,1,1,1,1
7‐graph 169,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_382.png,1,1,1,1
7‐graph 167,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_383.png,1,1,1,1
7‐graph 171,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_384.png,1,1,1,1
7‐graph 170,7,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_385.png,1,1,1,1
7‐graph 168,7,10,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_386.png,1,1,1,1
7‐graph 172,7,11,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_387.png,1,1,1,1
7‐graph 181,7,11,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_388.png,1,1,1,1
7‐graph 182,7,12,4,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_389.png,1,1,1,1
7‐graph 268,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_390.png,1,1,1,1
Beineke graph 2 and two singletons,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_391.png,1,1,1,1
7‐graph 271,7,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_392.png,1,1,1,1
7‐graph 269,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_393.png,1,1,1,1
8‐matchstick graph 54,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_394.png,1,1,1,1
5‐wheel and two singletons,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_395.png,1,1,1,1
7‐graph 272,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_396.png,1,1,1,1
7‐graph 270,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_397.png,1,1,1,1
7‐graph 273,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_398.png,1,1,1,1
hexagon and singleton,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_399.png,1,1,1,1
domino and singleton,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_400.png,1,1,1,1
6‐pan graph,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_401.png,1,1,1,1
antenna and singleton,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_402.png,1,1,1,1
7‐graph 210,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_403.png,1,1,1,1
7‐matchstick graph 59,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_404.png,1,1,1,1
Beineke graph 4 and singleton,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_405.png,1,1,1,1
7‐graph 207,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_406.png,1,1,1,1
7‐matchstick graph 53,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_407.png,1,1,1,1
8‐matchstick graph 124,7,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_408.png,1,1,1,1
7‐graph 223,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_409.png,1,1,1,1
8‐matchstick graph 16,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_410.png,1,1,1,1
8‐matchstick graph 48,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_411.png,1,1,1,1
8‐matchstick graph 58,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_412.png,1,1,1,1
7‐graph 219,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_413.png,1,1,1,1
cis square with two triangles and singleton,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_414.png,1,1,1,1
8‐matchstick graph 14,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_415.png,1,1,1,1
8‐matchstick graph 49,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_416.png,1,1,1,1
9‐matchstick graph 29,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_417.png,1,1,1,1
"(1,5)‐fan and singleton",7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_418.png,1,1,1,1
9‐matchstick graph 4,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_419.png,1,1,1,1
9‐matchstick graph 100,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_420.png,1,1,1,1
10‐matchstick graph 1,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_421.png,1,1,1,1
square and 3‐path,7,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_422.png,1,1,1,1
"(4,3)‐tadpole graph",7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_423.png,1,1,1,1
3‐path and tetrahedron minus edge,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_424.png,1,1,1,1
7‐matchstick graph 29,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_425.png,1,1,1,1
7‐matchstick graph 56,7,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_426.png,1,1,1,1
7‐matchstick graph 27,7,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_427.png,1,1,1,1
"(2,4)‐Dutch windmill graph",7,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_428.png,1,1,1,1
8‐matchstick graph 18,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_429.png,1,1,1,1
8‐matchstick graph 57,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_430.png,1,1,1,1
8‐matchstick graph 17,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_431.png,1,1,1,1
8‐matchstick graph 33,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_432.png,1,1,1,1
9‐matchstick graph 34,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_433.png,1,1,1,1
9‐matchstick graph 19,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_434.png,1,1,1,1
10‐matchstick graph 57,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_435.png,1,1,1,1
7‐graph 288,7,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_436.png,1,1,1,1
7‐graph 284,7,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_437.png,1,1,1,1
7‐graph 283,7,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_438.png,1,1,1,1
7‐graph 292,7,9,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_439.png,1,1,1,1
7‐graph 290,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_440.png,1,1,1,1
7‐graph 286,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_441.png,1,1,1,1
9‐matchstick graph 173,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_442.png,1,1,1,1
7‐graph 289,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_443.png,1,1,1,1
7‐graph 285,7,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_444.png,1,1,1,1
7‐graph 294,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_445.png,1,1,1,1
7‐graph 293,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_446.png,1,1,1,1
7‐graph 291,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_447.png,1,1,1,1
7‐graph 287,7,10,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_448.png,1,1,1,1
