name,vertices,edges,chromatic_number,image_path,leap_1_structure,leap_1_order,leap_2_structure,leap_2_order
two 2‐paths and four singletons,6,1,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_53.png,1,1,1,1
3‐path and three singletons,6,2,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_54.png,1,1,1,1
"two 2‐paths and (1,3)‐bipartite graph",6,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_55.png,1,1,1,1
"(1,4)‐bipartite graph and singleton",6,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_56.png,1,1,1,1
6‐star graph,6,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_57.png,1,1,1,1
two 2‐paths and 2 singletons,6,2,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_58.png,1,1,1,1
4‐path and two singletons,6,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_59.png,1,1,1,1
"3‐path, 2‐path, and singleton",6,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_60.png,1,1,1,1
triangle and three singletons,6,3,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_61.png,1,1,1,1
fork and singleton,6,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_62.png,1,1,1,1
2‐path and claw,6,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_63.png,1,1,1,1
paw and two singletons,6,4,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_64.png,1,1,1,1
cross graph,6,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_65.png,1,1,1,1
cricket and singleton,6,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_66.png,1,1,1,1
6‐matchstick graph 4,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_67.png,1,1,1,1
square and two singletons,6,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_68.png,1,1,1,1
two 3‐paths,6,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_69.png,1,1,1,1
banner and singleton,6,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_70.png,1,1,1,1
6‐tree 2,6,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_71.png,1,1,1,1
tetrahedron minus edge and two singletons,6,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_72.png,1,1,1,1
bull and singleton,6,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_73.png,1,1,1,1
H graph,6,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_74.png,1,1,1,1
R graph,6,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_75.png,1,1,1,1
dart and singleton,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_76.png,1,1,1,1
6‐matchstick graph 5,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_77.png,1,1,1,1
moth graph,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_78.png,1,1,1,1
"(2,3)‐bipartite graph and singleton",6,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_79.png,1,1,1,1
6‐matchstick graph 20,6,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_80.png,1,1,1,1
6‐graph 32,6,7,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_81.png,1,1,1,1
"(1,1,3)‐tripartite graph and singleton",6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_82.png,1,1,1,1
7‐matchstick graph 3,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_83.png,1,1,1,1
6‐graph 33,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_84.png,1,1,1,1
"(2,4)‐complete bipartite graph",6,8,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_85.png,1,1,1,1
"(1,1,4)‐complete tripartite graph",6,9,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_86.png,1,1,1,1
3‐ladder rung graph,6,3,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_87.png,C2,2,1,1
5‐path and singleton,6,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_88.png,1,1,1,1
4‐path and 2‐path,6,4,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_89.png,C2,2,1,1
"triangle, 2‐path, and singleton",6,4,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_90.png,1,1,1,1
E graph,6,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_91.png,C2,2,1,1
"(3,2)‐tadpole + singleton",6,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_92.png,1,1,1,1
paw and 2‐path,6,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_93.png,C2,2,1,1
6‐matchstick graph 6,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_94.png,C2,2,1,1
butterfly and singleton,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_95.png,1,1,1,1
7‐matchstick graph 9,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_96.png,C2,2,1,1
pentagon and singleton,6,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_97.png,1,1,1,1
A graph,6,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_98.png,C2,2,1,1
house and singleton,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_99.png,1,1,1,1
5‐pan graph,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_100.png,C2,2,1,1
kite and singleton,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_101.png,1,1,1,1
net graph,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_102.png,C2,2,1,1
7‐matchstick graph 14,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_103.png,C2,2,1,1
7‐matchstick graph 4,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_104.png,C2,2,1,1
gem and singleton,6,7,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_105.png,1,1,1,1
8‐matchstick graph 1,6,8,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_106.png,C2,2,1,1
6‐path graph,6,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_107.png,C2,2,1,1
square and 2‐path,6,5,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_108.png,D4,8,C2 x C2,4
triangle and 3‐path,6,5,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_109.png,1,1,1,1
"(4,2)‐tadpole graph",6,6,2,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_110.png,D4,8,C2 x C2,4
"(3,3)‐tadpole graph",6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_111.png,C2,2,1,1
6‐matchstick graph 9,6,6,3,https://raw.githubusercontent.com/mschachner/leaper/main/results/images/graph_112.png,C2,2,1,1
